Age,Gender,ImpComercial,ImpSomeonesHouse,ImpWhenCook,Cluster
26,0,5,5,5,1
38,0,5,5,5,1
27,0,5,4,4,1
35,1,4,4,4,0
26,1,5,4,4,0
26,1,4,3,4,2
25,0,5,5,5,1
49,1,4,3,5,3
18,1,5,5,4,4
40,1,5,4,4,3
38,1,5,5,5,4
20,1,3,2,4,2
27,1,5,5,4,4
30,1,5,5,5,4
27,1,5,4,4,0
30,1,5,5,5,4
16,0,5,5,5,1
37,1,5,4,4,0
14,1,5,3,4,0
31,1,5,3,4,0
35,1,5,4,3,0
21,1,5,5,5,4
35,1,4,3,3,2
31,1,5,5,5,4
41,1,4,4,4,3
25,1,5,5,5,4
55,1,5,4,4,3
35,1,3,2,3,2
27,1,4,1,4,2
21,1,5,4,3,0
25,1,4,3,4,2
28,0,5,4,4,1
38,1,5,4,3,0
20,1,5,4,4,0
24,1,4,3,4,2
39,1,5,5,5,4
23,1,5,5,5,4
24,1,5,4,4,0
30,1,5,4,4,0
23,1,5,5,5,4
30,1,4,3,4,2
35,1,4,3,4,2
31,0,4,4,5,1
21,1,5,5,4,4
42,1,5,5,5,3
24,1,5,2,5,0
25,1,5,3,3,0
25,1,5,4,4,0
18,1,3,4,5,2
32,1,5,4,4,0
38,1,5,4,5,3
24,1,5,3,4,0
33,1,5,4,4,0
29,1,5,4,3,0
33,1,5,3,4,0
34,1,5,5,5,4
24,1,5,5,4,4
25,1,5,5,5,4
54,0,5,4,5,1
23,0,5,4,4,1
31,1,5,5,5,4
27,1,3,5,3,2
40,1,5,5,5,4
34,1,5,4,4,0
14,1,5,4,5,4
23,1,5,5,3,0
22,1,5,4,4,0
22,1,5,4,4,0
41,1,5,5,5,3
19,1,4,1,2,2
28,1,5,5,5,4
15,0,5,5,5,1
57,1,5,4,4,3
31,1,5,5,5,4
48,1,5,4,4,3
21,1,5,4,4,0
23,1,5,4,4,0
20,1,5,4,4,0
30,1,5,4,4,0
29,1,5,5,5,4
53,1,5,5,5,3
37,1,3,4,5,2
21,1,5,5,4,4
19,1,5,5,5,4
34,1,5,5,4,4
20,1,5,4,4,0
27,1,5,4,4,0
23,1,3,3,4,2
17,1,5,3,3,0
24,0,5,4,4,1
37,1,5,4,5,4
26,1,4,4,4,0
20,1,5,5,5,4
24,1,4,3,3,2
22,0,5,4,4,1
32,1,5,5,5,4
21,1,5,3,2,0
47,1,5,4,4,3
21,1,5,4,3,0
38,1,5,4,5,3
34,1,5,5,5,4
21,1,5,5,4,4
19,1,5,4,5,4
21,1,5,3,4,0
